"ASVID","nahant_5um_d1_544","nahant_5um_d2_547","nahant_5um_d3_550","nahant_5um_d4_553","nahant_5um_d5_556","nahant_5um_d6_559","nahant_5um_d7_562","nahant_5um_d8_565","nahant_5um_d9_568","nahant_5um_d10_571","nahant_5um_d11_574","nahant_5um_d12_576","nahant_5um_d13_579","nahant_5um_d14_582","nahant_5um_d15_585","nahant_5um_d16_588","nahant_5um_d17_591","nahant_5um_d18_594","nahant_5um_d19_597","nahant_5um_d20_600","nahant_5um_d21_603","nahant_5um_d22_606","nahant_5um_d23_609","nahant_5um_d24_612","nahant_5um_d25_615","nahant_5um_d26_618","nahant_5um_d27_621","nahant_5um_d29_624","nahant_5um_d30_627","nahant_5um_d31_630","nahant_5um_d32_633","nahant_5um_d33_636","nahant_5um_d34_639","nahant_5um_d35_642","nahant_5um_d36_645","nahant_5um_d38_648","nahant_5um_d39_651","nahant_5um_d40_654","nahant_5um_d41_657","nahant_5um_d42_660","nahant_5um_d43_663","nahant_5um_d44_666","nahant_5um_d45_670","nahant_5um_d46_672","nahant_5um_d47_675","nahant_5um_d48_678","nahant_5um_d49_681","nahant_5um_d51_684","nahant_5um_d52_687","nahant_5um_d53_690","nahant_5um_d54_693","nahant_5um_d55_696","nahant_5um_d56_699","nahant_5um_d57_702","nahant_5um_d58_705","nahant_5um_d59_708","nahant_5um_d60_711","nahant_5um_d61_714","nahant_5um_d62_718","nahant_5um_d63_720","nahant_5um_d64_723","nahant_5um_d65_726","nahant_5um_d66_729","nahant_5um_d67_733","nahant_5um_d68_735","nahant_5um_d69_738","nahant_5um_d70_741","nahant_5um_d71_744","nahant_5um_d72_747","nahant_5um_d73_750","nahant_5um_d74_753","nahant_5um_d75_756","nahant_5um_d76_759","nahant_5um_d77_762","nahant_5um_d78_765","nahant_5um_d79_768","nahant_5um_d80_771","nahant_5um_d81_774","nahant_5um_d82_777","nahant_5um_d83_780","nahant_5um_d84_783","nahant_5um_d85_786","nahant_5um_d86_789","nahant_5um_d87_792","nahant_5um_d88_795","nahant_5um_d90_798","nahant_5um_d91_801","nahant_5um_d92_804"
"OTU_81",37,22,10,20,17,20,37,53,23,18,12,5,4,4,9,14,1,13,53,6,27,24,17,14,11,10,16,11,3,11,17,19,5,11,1,28,16,19,15,18,9,16,3,5,5,3,7,13,22,10,12,6,3,23,12,9,0,8,18,5,4,22,21,11,28,20,13,27,16,11,19,3,3,1,7,0,3,9,13,18,14,6,11,2,3,15,1,0
"OTU_26",6,1,1,1,1,4,1,1,1,2,4,2,0,0,4,5,1,1,4,0,0,3,1,1,2,0,2,1,1,6,1,25,6,16,6,61,69,56,32,40,14,26,14,35,82,10,16,42,30,46,23,19,10,11,44,14,16,3,3,0,1,1,12,4,8,6,15,8,9,1,4,4,4,5,17,4,17,11,23,15,23,11,7,2,3,11,1,1
"OTU_107",0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,6,3,99,103,3,1,4,9,15,6,14,13,7,10,17,2,10,9,2,11,0,4,36,42,40,54,106,173,23,22,43,11,18,11,50,9,0,36,21
"OTU_113",7,27,17,8,24,9,13,11,34,23,8,8,28,11,11,10,2,8,26,8,14,16,10,9,2,4,14,9,14,16,5,0,36,14,33,8,13,33,8,12,13,0,11,73,5,10,13,8,11,7,7,11,30,10,6,26,10,22,17,2,8,18,13,11,12,0,11,12,0,10,15,13,5,9,1,8,0,3,5,1,9,2,1,5,2,3,11,6
"OTU_78",0,0,1,2,0,2,0,0,0,1,23,65,31,11,81,18,12,8,0,0,0,0,0,0,13,37,1,3,8,7,2,5,14,40,20,0,1,1,1,3,0,0,0,1,0,0,0,0,0,12,4,28,48,14,1,17,8,72,7,30,22,48,0,0,0,0,2,0,0,0,0,10,16,22,15,97,35,20,4,36,3,22,6,9,1,3,7,4
"OTU_115",34,22,7,22,23,20,45,47,19,41,8,9,2,7,3,12,2,8,18,11,11,25,17,13,8,8,8,7,6,13,16,12,9,5,1,11,7,14,11,8,2,10,2,9,6,4,2,8,10,9,6,6,3,7,7,5,6,3,16,4,0,25,25,8,29,12,22,20,13,27,30,7,11,5,5,1,1,8,8,5,15,4,19,2,9,5,1,5
"OTU_142",6,2,2,5,1,13,1,3,23,5,3,1,12,22,1,2,2,15,3,6,32,5,6,13,1,32,13,30,12,4,2,1,56,9,4,3,7,1,2,11,2,0,0,10,2,0,1,5,0,0,2,15,33,9,2,4,6,20,12,1,17,15,13,30,48,5,30,36,1,4,14,28,13,61,51,53,3,7,4,9,7,18,7,1,1,2,17,18
"OTU_74",2,6,0,17,60,43,24,69,18,18,13,6,17,8,2,6,8,14,27,4,17,39,3,5,2,5,5,2,4,13,2,7,1,2,0,0,0,4,13,4,6,5,4,12,5,4,5,0,4,4,5,1,0,16,10,5,4,0,20,11,15,60,4,3,3,30,13,11,10,35,11,13,27,23,1,18,0,0,0,13,9,3,3,5,12,20,15,5
"OTU_130",2,3,2,1,4,0,7,2,1,4,2,3,2,0,0,1,0,2,2,1,1,0,0,0,0,0,6,0,0,1,0,1,0,0,0,0,0,0,6,7,4,11,15,16,22,32,3,1,2,7,1,29,10,11,6,17,4,33,46,14,6,25,3,1,12,10,16,2,11,0,6,3,2,7,29,11,6,8,10,22,9,11,12,42,99,52,112,81
"OTU_105",4,2,1,4,1,10,1,2,1,4,9,3,0,1,2,6,0,7,0,6,0,2,3,6,2,1,1,3,1,6,3,3,2,0,0,28,50,30,19,37,10,10,15,19,121,2,31,65,20,42,38,22,8,6,22,3,8,7,3,0,0,3,7,9,2,2,10,9,5,0,1,3,1,1,3,3,7,9,28,32,32,9,11,4,12,16,1,2
