"ASVID","nahant_unf_d0_1080","nahant_unf_d1_1083","nahant_unf_d2_1086","nahant_unf_d3_1089","nahant_unf_d4_1092","nahant_unf_d5_1095","nahant_unf_d6_1098","nahant_unf_d7_1101","nahant_unf_d8_1104","nahant_unf_d9_1107","nahant_unf_d10_1110","nahant_unf_d11_1113","nahant_unf_d12_1116","nahant_unf_d13_1119","nahant_unf_d14_1122","nahant_unf_d15_1125","nahant_unf_d16_1128","nahant_unf_d17_1131","nahant_unf_d18_1134","nahant_unf_d19_1137","nahant_unf_d20_1140","nahant_unf_d21_1143","nahant_unf_d22_1146","nahant_unf_d23_1149","nahant_unf_d24_1152","nahant_unf_d25_1155","nahant_unf_d26_1158","nahant_unf_d27_1161","nahant_unf_d28_1164","nahant_unf_d29_1167","nahant_unf_d30_1170","nahant_unf_d31_1173","nahant_unf_d32_1176","nahant_unf_d33_1180","nahant_unf_d34_1182","nahant_unf_d35_1185","nahant_unf_d36_1188","nahant_unf_d37_1191","nahant_unf_d38_1194","nahant_unf_d39_1197","nahant_unf_d40_1200","nahant_unf_d41_1203","nahant_unf_d42_1206","nahant_unf_d43_1209","nahant_unf_d44_1212","nahant_unf_d45_1215","nahant_unf_d46_1218","nahant_unf_d47_1221","nahant_unf_d48_1224","nahant_unf_d49_1227","nahant_unf_d50_1230","nahant_unf_d51_1233","nahant_unf_d52_1236","nahant_unf_d53_1239","nahant_unf_d54_1242","nahant_unf_d55_1245","nahant_unf_d56_1248","nahant_unf_d57_1251","nahant_unf_d58_1254","nahant_unf_d59_1257","nahant_unf_d60_1260","nahant_unf_d61_1263","nahant_unf_d62_1266","nahant_unf_d63_1269","nahant_unf_d64_1272","nahant_unf_d65_1275","nahant_unf_d66_1278","nahant_unf_d67_1281","nahant_unf_d68_1284","nahant_unf_d69_1287","nahant_unf_d70_1290","nahant_unf_d71_1293","nahant_unf_d72_1296","nahant_unf_d73_1301","nahant_unf_d75_1304","nahant_unf_d76_1307","nahant_unf_d77_1310","nahant_unf_d78_1313","nahant_unf_d79_1316","nahant_unf_d81_1322","nahant_unf_d82_1325","nahant_unf_d83_1328","nahant_unf_d85_1334","nahant_unf_d86_1337","nahant_unf_d87_1340","nahant_unf_d88_1343","nahant_unf_d89_1346","nahant_unf_d90_1349","nahant_unf_d91_1352","nahant_unf_d92_1355"
"OTU_58",66,21,21,7,39,50,93,86,47,44,64,179,209,343,257,217,151,204,116,108,41,31,17,6,13,19,25,12,8,6,9,2,5,7,7,10,16,4,1,0,1,1,19,2,4,26,4,7,5,3,6,0,2,3,0,2,2,3,0,2,1,5,1,1,2,5,0,0,1,0,1,1,0,1,0,0,3,0,0,3,1,2,0,0,1,4,2,3,0,2
"OTU_52",51,113,125,161,119,157,68,66,79,11,49,31,44,32,44,32,21,13,18,7,42,13,55,40,35,22,70,181,202,156,215,22,18,11,11,10,18,6,4,5,9,13,9,8,4,15,2,1,4,1,32,8,13,13,13,2,15,2,2,8,9,10,1,0,4,0,0,6,2,4,5,4,5,0,4,6,18,7,14,3,2,5,1,4,4,2,2,4,4,5
"OTU_147",4,8,3,2,7,7,5,5,3,1,3,1,4,4,6,2,1,0,5,0,1,0,4,4,3,1,7,7,1,5,4,6,41,32,61,38,18,22,5,13,35,13,83,49,299,200,142,19,11,11,19,8,25,20,44,11,40,45,75,45,26,60,4,3,1,0,0,1,1,0,29,12,7,5,6,38,36,25,47,18,37,29,89,68,138,112,90,84,54,98
"OTU_21",32,54,29,28,36,27,18,23,30,8,10,9,7,15,8,17,6,2,15,6,7,24,38,42,46,34,27,28,15,12,20,21,84,60,51,18,13,13,0,2,18,20,14,18,33,42,44,2,4,1,10,3,29,30,53,29,44,29,47,26,31,26,5,0,1,1,4,4,15,16,27,12,18,43,38,95,60,46,86,20,60,92,43,51,75,58,71,85,57,72
"OTU_29",16,85,26,46,54,56,22,21,40,7,28,8,24,17,9,25,10,3,13,6,27,16,46,34,26,14,46,40,48,46,84,32,72,46,40,45,11,11,10,7,7,18,16,5,19,42,26,0,5,2,25,9,19,13,11,5,19,14,20,27,27,51,7,5,5,0,3,6,18,21,21,15,13,17,42,58,57,61,111,26,76,110,44,44,38,49,36,36,43,50
"OTU_140",4,16,27,37,24,71,9,34,10,17,45,11,14,14,2,6,1,2,2,6,4,22,25,83,70,25,83,63,105,72,75,156,85,96,59,84,20,25,9,13,35,122,16,72,28,47,8,5,2,3,19,7,23,38,38,10,44,20,14,13,23,29,3,3,3,0,1,1,3,0,5,1,1,5,18,11,25,7,8,4,2,11,10,14,3,3,4,7,6,9
"OTU_146",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,13,14,3,7,12,5,8,3,4,4,6,12,19,17,36,21,5,13,8,18,4,14,20,14,14,28,32,20,52,21,40,11,5,3,2,1,14,33,37,42,20,22,10,19,34,36,45,93,47,85,57,104,52,165,135,204,149,124,226
"OTU_18",63,107,31,30,129,45,57,46,55,11,30,14,35,37,22,52,28,5,10,17,25,15,31,29,42,29,42,45,31,19,38,13,31,24,20,12,7,5,13,10,11,9,7,11,15,11,6,4,9,6,20,5,13,11,12,4,3,14,18,2,8,6,16,30,17,18,10,17,8,31,22,9,10,10,20,85,53,30,62,26,10,42,21,69,23,22,8,13,14,18
"OTU_26",3,0,1,2,3,0,8,2,4,5,1,11,0,1,1,2,10,1,4,6,0,3,2,3,9,10,0,0,1,1,0,21,3,27,32,55,62,89,204,165,78,89,169,55,60,18,78,49,23,40,56,73,38,72,34,60,9,22,35,10,33,6,31,7,58,29,20,11,13,5,17,13,12,3,2,2,0,22,4,28,28,6,10,8,0,5,2,8,1,1
"OTU_272",40,53,51,58,43,73,36,55,37,16,72,7,18,17,2,3,6,6,8,16,23,60,108,97,82,53,106,68,62,65,59,33,10,15,9,16,5,4,0,2,6,26,2,17,4,19,7,3,6,1,10,2,12,12,12,18,25,9,3,34,10,23,4,3,1,2,1,4,11,17,3,4,2,2,3,7,2,0,5,0,0,2,3,2,2,0,9,1,2,3
"OTU_133",5,15,15,19,8,11,18,16,19,20,12,14,7,5,11,4,11,27,11,15,33,93,43,10,11,11,12,7,33,32,27,27,10,14,2,21,15,8,9,5,2,50,6,24,3,11,14,8,10,9,25,27,16,39,21,41,45,24,6,44,30,21,14,121,73,35,11,22,45,26,11,13,19,21,17,6,10,15,17,6,11,16,17,11,9,18,22,16,13,18
"OTU_25",2,4,8,4,4,3,9,7,5,2,5,25,5,3,0,3,8,1,0,5,7,3,6,5,11,16,10,2,3,4,9,11,2,5,11,69,128,100,112,76,76,38,76,35,24,55,35,15,5,26,37,116,58,22,51,26,14,23,33,7,17,6,16,5,0,6,15,19,9,7,5,14,3,2,0,3,4,35,8,33,31,20,3,6,10,9,1,10,2,1
"OTU_174",80,43,34,28,32,41,41,48,35,6,38,18,20,26,16,16,18,41,32,43,38,62,33,29,19,14,22,19,29,20,30,21,12,14,13,24,13,8,7,6,13,53,12,19,8,24,30,6,12,3,13,10,8,66,22,68,30,41,14,74,34,17,15,9,1,1,1,1,8,6,5,0,3,1,1,1,1,0,0,3,1,2,5,5,3,4,9,4,2,5
"OTU_84",0,4,7,7,1,16,0,11,11,18,14,7,3,2,6,3,3,16,9,9,11,32,28,7,4,1,15,15,44,44,40,19,2,4,6,4,10,4,0,3,6,30,6,11,3,12,8,2,14,4,30,20,20,37,14,108,45,33,11,100,35,41,32,131,103,81,12,38,63,49,14,23,22,7,10,6,7,17,8,5,9,4,6,2,3,13,9,15,7,16
"OTU_99",23,34,27,14,30,30,36,33,28,14,44,29,47,51,22,37,26,24,9,10,7,15,11,17,13,19,47,59,35,61,56,15,12,18,19,31,14,20,3,7,7,19,9,15,4,20,6,3,10,1,16,7,5,9,1,2,11,5,6,16,12,26,8,1,2,2,1,1,21,6,3,6,2,10,11,29,26,28,61,37,31,63,17,16,18,11,9,6,22,22
