"ID","Nov2rep3","Nov3rep3","Nov4rep3","Nov5rep3","Nov9rep3","Nov10rep3","Nov11rep3","Nov12rep3","Nov13rep3","Nov16rep3","Nov17rep3","Nov18rep3","Nov19rep3","Nov20rep3","Nov23rep3","Nov24rep3","Nov25rep3","Nov26rep3","Nov27rep3","Nov30rep3","Dec1rep3","Dec2rep3","Dec3rep3","Dec4rep3","Dec7rep3","Dec8rep3","Dec9rep3","Dec10rep3","Dec11rep3","Dec14rep3","Dec15rep3","Dec16rep3","Dec17rep3","Dec18rep3","Dec21rep3","Dec22rep3","Dec23rep3","Jan4rep3","Jan5rep3","Jan6rep3","Jan7rep3","Jan8rep3","Jan11rep3","Jan12rep3","Jan13rep3","Jan14rep3","Jan15rep3","Jan18rep3","Jan19rep3","Jan20rep3","Jan22rep3","Jan25rep3","Jan26rep3","Jan27rep3","Jan28rep3","Jan29rep3","Feb1rep3","Feb2rep3","Feb3rep3","Feb4rep3","Feb5rep3","Feb8rep3","Feb9rep3","Feb11rep3","Feb12rep3","Feb15rep3","Feb16rep3","Feb18rep3","Feb19rep3","Feb22rep3","Feb23rep3","Feb25rep3","Feb26rep3","Feb29rep3","Mar2rep3","Mar3rep3","Mar4rep3","Mar7rep3","Mar8rep3","Mar9rep3","Mar10rep3","Mar11rep3","Mar14rep3","Mar15rep3","Mar21rep3","Mar22rep3","Mar23rep3","Apr18rep3","Apr19rep3"
"OTU_484",0,0,0,0,3,2,2,0,2,5,1,2,0,1,0,0,1,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"OTU_30038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2,0,3,0,0,0,0,1,3,1,0,2,2,1,2,0,0,3,1,0,0,1,0,0,1,1,0,1,0,0
"OTU_424",4,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,1,1,1,0,1,1,2,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,2,0,1,1,0,1,1,0,0,1,2,0,1,0,1,0,1,0,0,3,2,1,1,0
"OTU_115",1,0,5,3,2,1,0,1,2,2,5,2,0,3,1,1,4,2,4,3,4,1,2,1,3,5,4,4,3,0,1,2,0,2,2,3,7,5,1,8,6,4,5,7,10,5,5,6,5,6,3,5,2,6,4,3,7,5,8,2,5,4,1,5,10,5,4,2,1,3,7,5,4,2,2,3,9,5,7,2,4,8,3,7,5,5,7,0,0
"OTU_2310",0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,1,1,7,5,2,2,1,0,3,3,3,2,3,2,0,2,2,1,1,4,1,2,4,3,3,0,0,1,1,0,1,4,0,0,1,0,5,1,2,2,4,5,1,3,1,0,1,0,1,0,2,0,1,2,2,0,2,0,0,1,0,1,0,1,2,0,1,0,2,0,0
"OTU_636",1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_12",36,61,81,16,8,17,6,10,8,15,30,39,95,40,22,20,33,20,20,29,37,36,26,38,47,35,31,47,32,175,128,169,160,45,22,37,29,19,21,20,28,24,20,25,27,21,21,24,30,21,21,15,32,19,17,18,20,25,20,23,34,31,35,31,32,27,31,24,39,28,22,22,23,34,29,30,22,14,18,26,12,28,20,10,22,30,7,8,2
"OTU_27358",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,2,0,2,2,0,1,1,1,1,1,1,1,0,0,1,1,2,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_718",10,1,0,4,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_48",1,0,0,2,3,16,14,5,38,12,38,14,6,4,23,26,31,20,33,29,17,28,8,17,3,5,5,11,10,3,9,3,1,12,10,12,4,7,8,6,6,4,9,8,10,6,7,7,7,5,2,0,0,1,1,1,2,2,2,2,4,6,3,3,5,3,7,6,4,6,1,5,7,3,3,3,5,4,3,6,4,4,8,7,3,7,8,41,9
"OTU_265",0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,1,1,1,2,1,1,4,0,0,1,2,0,4,4,0,1,2,3,0,0,0,3,4,1,1,6,0,2,2,2,3,4,0,1,0,3,1,0,2,1,1,1,2,0,0,0,4,2,0,1,0,3,0,1,1,0,0,2,3,1,0,0,0,0,0,1,0,0,1,0
