"ID","SE1A","SE2A","SE3A","SE4A","SE5A","SE6A","SE7A","SE8A","SE9A","SE10A","SE11A","SE12A","SE13A","SE14A","SE15A","SE16A","SE17A","SE18A","SE19A","SE20A","SE21A","SE22A","SE23A","SE24A","SE25A","SE26A","SE27A","SE28A","SE29A","SE30A","SE31A","SE32A","SE33A","SE34A","SE35A","SE36A","SE37A","SE38A","SE39A","SE40A","SE41A","SE42A","SE43A","SE44A","SE45A","SE46A","SE47A","SE48A","SE49A","SE50A","SE51A","SE52A"
"66cc606b623bc8ef62c38b9fcfad7780",0,3,0,0,3,1,0,4,7,8,3,6,0,0,6,0,0,7,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0
"66e90c44ebbee005d5fa740d0f683a49",4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,2,1,0,0,1,0,7,5,10,6,0,3,0,5,0,2,0,0,0,11,2,4,0,0,7,0,0,0,1,0,3
"66f741abda0a84945a2e73c82ea4603b",4,11,11,27,68,68,49,30,30,20,11,11,8,6,4,10,12,6,6,7,18,22,9,14,8,2,49,2,5,3,6,6,0,1,6,3,6,1,6,2,0,4,0,7,12,26,19,20,28,17,18,9
"66fb57d5ccdd65159033d8eda8b7c124",9,11,8,13,12,4,14,15,17,20,25,17,21,28,13,7,13,10,6,4,18,17,9,25,18,6,0,9,16,14,11,21,17,13,9,6,12,12,16,3,16,11,15,5,13,9,6,10,6,7,5,7
"67156123b8043ec74417b97b0d91f257",5,0,1,6,2,0,7,7,9,15,11,16,20,18,21,13,15,11,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"6728220a6500a65ec888dbace4cb18c1",8,6,5,15,19,11,12,10,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,9,12,8,10,7,0
"67588f6f0b9b141bc5f37204a50da5bf",0,7,4,0,6,0,0,0,2,5,0,5,0,0,0,0,0,0,0,0,1,6,0,2,6,9,3,0,3,0,0,3,9,0,11,3,9,0,0,6,4,0,0,0,1,3,0,3,0,3,0,4
"675c847bccbc53942ebb7b8cbb4efc4d",6,0,5,17,0,9,12,5,3,3,7,7,0,2,0,4,0,4,0,3,2,1,105,5,0,0,141,0,0,0,4,2,0,0,6,0,2,6,1,3,0,0,9,6,22,17,14,9,19,19,9,16
"67aa187e7915900cc6979df994fc867c",0,7,7,5,0,6,4,3,9,7,4,0,3,8,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,8
"67b66c716c96d8b9d1bf7b467d9baef3",0,0,4,0,3,10,5,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,2,4,0,0,2,1,3,4,0,4,6,6,0,0,5,2,0
"682b1eb3f6c4b8e979f15ffa10ab446f",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,5,6,0,0,5,5,0,5,7,0,7,6,2,4
"6830008201e282eff938198a4d4acca8",7,9,0,8,6,16,14,24,15,10,11,13,7,6,4,4,2,6,0,7,1,2,2,0,0,0,0,0,0,0,2,3,2,8,0,6,2,6,4,0,2,5,3,0,4,10,0,12,17,26,11,36
"683a4c4e73c6d4d7324977e95fab24bc",22,0,21,35,21,18,25,27,17,18,23,31,19,35,19,19,26,4,7,5,3,7,140,7,0,22,159,26,10,26,33,35,18,34,20,28,25,15,21,9,9,11,22,0,19,23,47,18,56,28,18,20
"6851a4ee264b56be2fff4686ce269907",0,3,0,3,0,4,0,2,0,0,0,3,0,0,0,0,0,0,0,3,0,0,5,0,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,2,0,0,0,0,2
"685cc7b894736d20acd4f502fd62ead3",0,2,0,0,0,0,0,2,8,12,7,2,11,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,4
"68b76cae175a98b50ef2eeb686a8af0f",120,208,294,190,215,296,245,170,159,111,131,64,72,85,50,60,38,49,39,30,47,26,16,22,0,17,0,0,0,0,0,0,0,20,20,17,20,24,45,32,17,34,55,39,68,92,111,119,166,149,142,107
"690c48464d506b0e07bf7bdf6ccc0758",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,15
"69179c4a6011d0c9d30036cf18626520",0,18,0,15,0,16,0,0,20,8,11,10,0,0,9,0,0,0,0,0,0,0,32,11,0,0,25,0,0,0,13,0,0,0,0,8,0,13,0,3,7,9,0,24,0,4,0,0,0,0,0,11
"69583a8cf6cd7fc8d1fcd069fdcd456b",0,1,3,0,0,0,0,0,0,0,0,0,0,9,13,19,31,16,7,2,10,6,3,5,0,0,4,0,1,2,2,7,0,0,3,5,3,1,27,3,1,0,12,6,16,9,18,13,24,18,17,18
"69a11f927915e2a3ba1f7b9c84486527",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,3,0
"69d32401c30cda6a79ed8300f47ffe5a",0,9,17,5,0,9,0,12,0,0,0,10,0,0,0,0,0,0,0,6,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,8,7,10,0,10,8
"6a6b664ae84ef3825b0b0ae8d1ecc811",0,0,0,5,4,5,10,4,0,0,0,6,7,10,8,0,4,7,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
"6adf93c457bcd41544637cbfe1a50090",0,8,0,0,12,14,0,0,16,15,13,27,17,0,23,0,23,35,16,29,42,44,34,47,63,58,37,44,84,66,37,32,37,12,16,15,22,19,31,16,74,11,11,26,0,0,0,0,0,0,0,12
"6b03f680397ad7c6cc592e929c076cb4",32,34,41,17,52,28,38,27,19,28,26,24,23,27,17,16,16,14,0,8,0,11,0,0,0,5,0,0,7,0,8,0,10,8,0,0,0,0,10,10,2,0,13,0,0,16,12,19,24,17,18,19
"6c3fb343f46983254cdb83e99fa07a49",25,12,23,31,16,12,42,21,37,28,20,31,28,24,27,21,26,31,13,17,0,34,17,14,0,0,0,0,0,0,0,0,19,0,19,0,16,21,22,9,7,0,0,0,27,19,18,0,31,0,31,21
"6c4b349405426cab99c5db08847fbff1",0,2,0,0,4,7,4,5,2,3,0,0,1,0,0,0,1,3,0,0,0,0,0,3,0,0,11,0,0,3,6,0,0,0,0,0,4,0,0,1,4,0,0,0,0,0,0,0,2,0,1,2
"6c9ad85ed0a375dd2b0191fcf8f5772b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,21,0,0,0,0,0,0,0,0,0,19
