"ASVID","Nov2rep3","Nov3rep3","Nov4rep3","Nov5rep3","Nov9rep3","Nov10rep3","Nov11rep3","Nov12rep3","Nov13rep3","Nov16rep3","Nov17rep3","Nov18rep3","Nov19rep3","Nov20rep3","Nov23rep3","Nov24rep3","Nov25rep3","Nov26rep3","Nov27rep3","Nov30rep3","Dec1rep3","Dec2rep3","Dec3rep3","Dec4rep3","Dec7rep3","Dec8rep3","Dec9rep3","Dec10rep3","Dec11rep3","Dec14rep3","Dec15rep3","Dec16rep3","Dec17rep3","Dec18rep3","Dec21rep3","Dec22rep3","Dec23rep3","Jan4rep3","Jan5rep3","Jan6rep3","Jan7rep3","Jan8rep3","Jan11rep3","Jan12rep3","Jan13rep3","Jan14rep3","Jan15rep3","Jan18rep3","Jan19rep3","Jan20rep3","Jan22rep3","Jan25rep3","Jan26rep3","Jan27rep3","Jan28rep3","Jan29rep3","Feb1rep3","Feb2rep3","Feb3rep3","Feb4rep3","Feb5rep3","Feb8rep3","Feb9rep3","Feb11rep3","Feb12rep3","Feb15rep3","Feb16rep3","Feb18rep3","Feb19rep3","Feb22rep3","Feb23rep3","Feb25rep3","Feb26rep3","Feb29rep3","Mar2rep3","Mar3rep3","Mar4rep3","Mar7rep3","Mar8rep3","Mar9rep3","Mar10rep3","Mar11rep3","Mar14rep3","Mar15rep3","Mar21rep3","Mar22rep3","Mar23rep3","Apr18rep3","Apr19rep3"
"OTU_59",1,3,1,9,10,14,5,5,9,5,7,17,12,10,14,10,10,9,6,9,3,4,10,4,5,9,5,3,5,8,10,17,16,3,8,10,4,5,6,8,9,6,4,4,3,7,7,4,12,6,9,6,6,10,12,9,2,2,10,7,6,3,7,11,3,9,11,5,3,3,6,3,5,2,6,8,3,5,2,2,5,4,1,0,1,1,2,1,0
"OTU_43",14,11,7,10,22,27,35,35,40,50,11,28,29,27,6,4,6,4,9,15,15,13,21,6,6,12,3,5,3,5,10,8,4,2,8,2,3,0,1,1,0,0,3,1,0,1,4,1,0,1,0,0,2,0,1,1,0,1,0,1,0,0,2,3,0,1,1,2,0,0,2,0,1,1,1,1,0,0,2,0,1,1,0,0,0,1,1,0,1
"OTU_77",1,2,2,0,3,2,4,5,0,3,2,0,2,1,3,3,10,0,0,5,2,1,1,5,11,5,3,0,2,8,5,2,3,0,1,5,5,3,4,10,6,8,6,7,4,7,4,2,8,8,7,12,12,11,5,6,5,8,17,18,8,12,10,18,9,16,22,16,19,18,20,16,18,17,8,11,8,3,5,3,4,3,5,1,1,0,0,0,0
"OTU_69",7,5,26,6,9,6,5,5,2,6,0,4,6,4,9,6,4,6,4,4,2,0,6,5,9,7,1,4,1,2,5,9,14,9,5,4,3,3,3,4,7,11,3,2,4,6,8,4,9,4,10,2,2,6,7,2,3,0,5,6,5,5,1,4,9,2,1,2,2,3,6,1,4,6,13,1,6,10,11,10,11,13,10,10,16,31,21,1,14
"OTU_53",19,2,22,32,0,0,0,1,0,0,18,10,4,5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,6,7,2,6,19,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,2,0,5,3,2,2,1,1,3,2,2,3,3,2,1,2,2,4,1,1,0,1,2,2,2,2,4,4,6,5,4,11,9,13,24,68,89,98,0,0
"OTU_68",4,1,12,6,3,11,9,3,3,7,1,27,5,5,13,9,13,8,7,12,2,4,3,6,1,5,6,12,5,9,9,5,5,22,7,1,4,4,7,8,6,6,13,4,8,7,5,5,7,9,6,5,4,9,9,3,9,4,7,4,8,9,3,7,8,6,1,4,1,1,8,4,9,3,3,2,6,11,4,9,2,6,7,2,5,3,2,1,0
"OTU_70",10,17,35,11,6,1,5,5,4,6,1,5,4,10,5,4,5,3,1,5,6,0,6,7,11,6,7,9,10,1,8,10,10,9,2,2,4,2,2,4,4,2,3,2,4,4,3,3,5,7,4,5,10,4,6,5,3,4,4,5,4,4,5,7,7,6,3,6,4,6,3,2,3,7,8,5,9,2,11,8,6,11,7,10,11,12,12,4,18
"OTU_67",8,5,9,6,5,3,5,3,8,5,18,14,5,5,7,13,10,4,3,6,6,5,4,15,11,10,7,10,8,6,6,5,3,6,9,3,5,8,2,5,17,5,4,4,10,5,8,6,3,5,5,1,4,4,6,10,11,11,2,6,3,12,6,3,7,5,0,9,5,5,6,3,11,2,1,3,8,5,8,10,6,5,7,2,1,4,2,0,0
"OTU_78",3,0,0,0,0,1,1,2,1,0,1,0,2,0,5,1,3,1,2,2,2,0,1,4,4,3,1,3,2,1,1,5,5,1,3,3,1,6,5,5,4,4,11,5,6,3,10,4,9,10,10,4,10,6,9,5,9,13,8,14,12,14,19,15,8,22,17,14,14,15,13,21,11,16,15,17,6,6,10,3,4,8,3,5,2,4,1,0,3
"OTU_72",7,1,12,12,16,24,30,25,32,15,32,24,9,6,8,8,6,3,8,2,6,4,4,1,3,3,4,9,8,2,2,0,0,3,7,7,5,2,4,1,6,6,1,1,6,5,1,4,3,0,1,2,1,3,2,1,5,3,8,5,5,8,5,1,1,0,3,13,9,9,3,4,3,3,2,2,2,4,0,4,0,5,2,4,6,2,1,3,0
