"ID","N01B","N02B","N03B","N04B","N05B","N06B","N07B","N08B","N09B","N10B","N11B","N12B","N13B","N14B","N15B","N16B","N17B","N18B","N19B","N20B","N21B","N22B","N23B","N24B","N25B","N26B","N27B","N28B","N29B","N30B","N31B","N32B","N33B","N34B","N35B","N36B","N37B","N38B","N39B","N40B","N41B","N42B","N43B","N44B","N45B","N46B","N47B","N48B","N49B","N50B","N51B","N52B"
"eeb4d774e505172eda042629c8b7cbdb",0,0,0,0,0,0,4,4,2,3,0,2,0,4,0,3,2,3,2,9,4,11,38,26,21,7,6,14,10,10,10,5,15,37,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eec7b9d2960cae51621af3eead708582",0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,2,1,0,4,0,0,1,3,1,0,3,5,0,0,0,9,2,11,0,3,0,6,0,1,0,0,4,0,0,2,0,0,0
"ef36741a71940d37e69b70ac05ecb7e5",2,0,0,0,0,0,0,0,3,3,0,11,10,0,0,0,0,0,0,0,9,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"efe6512bca4a9b9b8990483b3f10c689",0,0,7,21,15,6,13,16,18,14,21,14,22,20,16,10,6,10,4,9,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f02be780d11ed72b29ee009f73dde2ff",0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f120d43d6fcd4e8c2ff09268fcc41e4e",16,3,7,5,3,4,0,2,0,0,0,0,0,0,0,1,5,0,0,0,0,2,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"f12ce8317349a2b1d9b853cf403f9b6d",0,0,0,0,0,0,0,1,7,2,1,0,0,0,0,4,7,8,12,5,8,6,13,7,6,4,4,4,4,10,5,7,7,5,0,6,4,8,2,9,6,15,9,4,6,16,18,24,13,25,23,16
"f148da540e95ea9902d8b76e1f74a1ab",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f1510e268368bccb51353c26ef6c8213",0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,16,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f15c64576b4595b19f1399923d8a6c85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,5,9,3,6,2,8,7,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
