"ID","ZOZOW1T_feces_320","ZOZOW1T_feces_321","ZOZOW1T_feces_322","ZOZOW1T_feces_323","ZOZOW1T_feces_324","ZOZOW1T_feces_325","ZOZOW1T_feces_326","ZOZOW1T_feces_327","ZOZOW1T_feces_328","ZOZOW1T_feces_329","ZOZOW1T_feces_330","ZOZOW1T_feces_331","ZOZOW1T_feces_332","ZOZOW1T_feces_333","ZOZOW1T_feces_334","ZOZOW1T_feces_336","ZOZOW1T_feces_339","ZOZOW1T_feces_340","ZOZOW1T_feces_342","ZOZOW1T_feces_343","ZOZOW1T_feces_344","ZOZOW1T_feces_345","ZOZOW1T_feces_346","ZOZOW1T_feces_347","ZOZOW1T_feces_348","ZOZOW1T_feces_349","ZOZOW1T_feces_350","ZOZOW1T_feces_351","ZOZOW1T_feces_352","ZOZOW1T_feces_353","ZOZOW1T_feces_354","ZOZOW1T_feces_355","ZOZOW1T_feces_356","ZOZOW1T_feces_358","ZOZOW1T_feces_359","ZOZOW1T_feces_360","ZOZOW1T_feces_362","ZOZOW1T_feces_363","ZOZOW1T_feces_365","ZOZOW1T_feces_367","ZOZOW1T_feces_368","ZOZOW1T_feces_369","ZOZOW1T_feces_370","ZOZOW1T_feces_371","ZOZOW1T_feces_372","ZOZOW1T_feces_373","ZOZOW1T_feces_374","ZOZOW1T_feces_375","ZOZOW1T_feces_376","ZOZOW1T_feces_377","ZOZOW1T_feces_378","ZOZOW1T_feces_379","ZOZOW1T_feces_380"
"OTU_8327",1,2,2,4,1,4,1,1,0,5,1,0,3,0,1,0,2,4,0,4,1,0,7,4,3,1,3,3,0,0,8,7,4,13,5,14,3,5,3,8,5,3,1,4,5,8,3,6,4,2,3,1,0
"OTU_14731",1,4,5,1,7,4,9,2,0,1,5,3,2,2,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,2,0,0,1,1,0,1,0,0,0,0,2,1,2,2,0,0,4,0,0,1,0,7,0
"OTU_2792",0,1,0,0,0,0,0,0,0,3,2,0,0,1,5,4,1,1,1,1,2,1,2,4,3,1,1,2,0,0,0,1,0,2,0,1,1,1,0,2,0,0,0,0,1,0,0,2,2,1,1,0,3
"OTU_14726",6,3,5,0,1,3,4,4,9,5,5,1,3,0,2,4,7,3,0,1,1,3,4,0,2,0,1,5,0,0,5,5,7,2,0,1,1,4,2,4,2,2,0,1,2,1,1,0,0,0,0,4,0
"OTU_18643",2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,5,4,6,0,1,1,2,0,2,0,1,1,3,2,2,1,1,1,0,2
"OTU_15696",2,4,5,6,1,5,21,2,1,4,14,3,1,0,0,1,0,0,0,0,0,1,1,0,1,2,4,0,1,3,0,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,0,0,2,0
"OTU_17275",10,5,2,6,5,6,2,6,5,4,9,6,5,0,1,4,7,0,2,1,1,6,11,1,2,6,2,3,1,4,0,0,0,0,2,0,1,1,0,1,2,4,1,1,1,1,1,1,0,4,1,0,2
"OTU_485",20,3,3,1,0,0,2,0,0,1,0,1,2,7,1,2,0,0,1,2,2,1,0,4,2,3,37,3,4,0,1,2,1,1,13,3,2,4,3,3,4,3,13,7,0,1,1,8,6,2,4,17,1
"OTU_315",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,4,5,0,25,0,0,12,32,13,0,0,3,11
"OTU_1468",1,8,4,5,0,0,0,3,5,0,3,0,0,1,0,0,1,7,0,1,4,0,1,0,1,1,0,2,1,1,5,3,3,2,0,2,4,1,4,1,1,5,1,2,0,2,0,1,1,2,0,1,0
