"SampleID","Week","AS.Bacteria.per.mL","AS.AOB.per.mL","AS.Virus.mL","Eff.Virus.mL","AS.pH","AS.Temp..oC.","AS.DO..mg.L.","Influent.Flow..L.sec.","HRT..Hours.","SRT..Days.","Eff.COD..mg.L.","AS.NH4.N..mg.L.","Eff.NH4.N..mg.L.","AS.MLSS..g.L.","Eff.MLSS..g.L.","AS.MLVSS..g.L.","Eff.MLVSS..g.L.","AS.Nitrate..mg.L.","Eff.Nitrate..mg.L.","AS.Nitrite..mg.L.","Eff.Nitrite..mg.L.","AS.Sulphate..mg.L.","Eff.Sulphate..mg.L.","AS.Phosphate..mg.L.","Eff.Phosphate..mg.L.","AS.Fluoride..mg.L.","Eff.Fluoride..mg.L.","AS.Chloride..mg.L.","Eff.Chloride..mg.L."
"AS_66",66,427834581.7,11324000,1221511186,623881629.4,6.3,16.8,2.59,95.8,5.485463522,11.05,18,8,2.3,2.92,0,2.05,0,26.532,45.107,0.899,0,94.328,97.492,9.004,2.185,1.963,1.529,65.616,59.432
"AS_67",67,807267870.2,9938000,1208337587,660076916.9,6.37,16.7,3.05,76.85,5.733944954,11.52,15,7.2,3,2.39,0,1.75,0,30.349,57.695,1.805,0,88.989,96.234,16.177,4.576,1.173,1.288,62.242,62.084
"AS_68",68,248485619.6,21252000,922875881.4,199673682.1,6.02,15.7,2.84,77.57,7.917656374,12.15,17,6.7,1,2.77,0,1.9,0,58.067,87.626,1.053,0,116.812,136.466,4.894,1.473,0.259,0.295,69.686,69.086
"AS_69",69,83511049.5,5674666.667,587254791.4,231178354.6,6.66,13.2,2.64,184.2,7.898894155,7.87,12,1.9,1,2.38,0.05,1.63,0.05,31.086,28.17,0.182,0,61.356,50.121,2.994,2.33,0.504,0.492,32.948,26.031
"AS_70",70,339114862.1,6973333.333,1466857098,551761781.2,6.55,14.5,2.08,90.91,7.326007326,12.78,16,5.9,2,2.93,0,2.15,0,14.429,32.708,0.476,0,94.358,104.945,2.732,1.59,0.35,0.32,64.409,64.259
"AS_71",71,278306901.7,2559333.333,1358248933,956855002.3,6.51,14.3,2.46,84.72,8.417508418,10.35,20,8.5,2.5,3.51,0,2.58,0,10.521,45.443,0.53,0.491,88.388,89.758,12.21,9.434,0.615,0.32,70.802,67.399
"AS_72",72,195001888.9,6245333.333,946226736.1,396811679.5,6.86,12.4,2.4,191.6,6.389776358,8.8,14,21,6.3,3.16,0,2.34,0,7.505,30.345,0.451,0,64.26,62.875,7.742,6.405,0.446,0.44,40.396,38.939
"AS_73",73,323164846.5,9830666.667,917149948.7,391738207.3,6.62,13.6,2.17,124.4,10.10509297,14.59,22,2.9,1.3,2.18,0,1.66,0,17.726,40.689,0.523,0,79.875,92.588,6.486,4.079,0.336,0.29,51.82,52.905
"AS_74",74,452757290.4,14341333.33,748148222.6,606205885,6.65,12.6,2.41,101.2,8.665511265,12.28,20,6.1,1.8,3.12,0.03,2.25,0.01,55.92648472,1.328422372,0,0.185200169,104.3164691,69.83277859,3.24939859,24.47407023,0.327413796,0.548530228,66.99712723,70.05548641
"AS_75",75,496851839.9,19308000,1275190874,829777953.8,6.6,12.2,3.65,94.75,5.285412262,13.89,39,7.5,2,3.08,0,2.29,0,47.56757149,0.655722462,0,1.055475633,99.69252335,63.35001344,6.356735308,15.40108926,0.301186387,7.498403217,114.9380294,75.73754444
"AS_76",76,366445633.8,17649333.33,922736404.1,345248800.4,6.16,12.7,2.64,91.29,9.302325581,10.19,23,4.1,2,3.26,0,2.31,0,63.3928764,3.642259996,0,0.201792673,137.8862057,28.22828627,1.651239374,8.496652673,0.283993601,0.125718436,81.18385972,29.150066
"AS_77",77,650710914.4,24366666.67,763333872.5,514944635.6,6.48,11.9,2.17,182.3,12.75022313,12.18,15,8.9,2,2.72,0.05,1.96,0.05,49.39659543,16.57525674,0.531799609,0.179574516,98.99511307,79.31174153,1.724999577,5.995934212,0.304368641,0.568470569,70.82376442,47.55458449
"AS_78",78,404149994.8,13052000,372779707.5,110428610.2,6.74,8.9,3.14,174.4,12.23091977,7.51,6,3.2,2.9,2.53,0,1.66,0,30.01718663,5.843968017,0,0.314939916,97.41711435,84.86385306,0,9.718801047,0.477055191,1.481383319,35.39074445,103.7532834
"AS_79",79,269092249.8,10715333.33,318091845.9,185194931.9,6.68,9.7,1.93,126.3,9.803921569,12.43,18,4.9,3,2.93,0,1.93,0,30.81912064,3.297901458,2.791435518,0.626011205,135.339485,77.09369202,0,2.098564421,0.333363054,1.997512187,147.6770896,228.7412662
"AS_80",80,258923678.7,15169333.33,547385060.3,114341822.8,6.61,9.3,4.64,126.6,12.96512382,13.4,15,8.3,2,2.59,0,1.75,0,3.005481409,1.551506364,0,5.299327141,123.5526153,66.28107422,68.9802197,11.9465702,0.342524633,0.410499927,115.2111014,53.14031402
"AS_81",81,321886961.1,8289333.333,531251261.4,338792206.1,6.53,9.1,2.48,136.5,9.775171065,10.42,23,3.9,5.8,3.04,0.01,2.15,0.01,32.78,45.41,5.636,4.163,78.528,88.877,6.947,6.465,0.383,0.407,125.553,102.871
"AS_82",82,53307679.37,1771266.667,564879288.8,380756005.1,6.66,9.6,2.71,118.8,5.37056928,18.17,38,2.8,0.1,2.9,0,2.27,0,44.361,63.544,1.997,0.653,79.692,79.543,8.884,8.325,0.333,0.308,97.661,106.288
"AS_83",83,87541928.59,4054666.667,844430222.2,569937608.8,6.35,10.2,2.91,156.5,10.2207686,18.45,18,3.3,1.4,3.07,0.05,2.31,0.01,31.511,58.912,2.826,1.099,94.895,117.356,4.073,1.311,0.301,0.282,73.621,77.026
"AS_84",84,954923262.2,11203333.33,659342274.2,483330829.1,6.22,8.8,2.43,98.96,12.40079365,10.58,11,2.7,1.1,3.35,0.02,2.46,0,50.275,64.975,1.3,0,85.544,92.887,4.486,2.285,0.316,0.296,355.31,396.097
"AS_85",85,664871360.6,9185333.333,699194186.2,571285066.4,6.42,8.4,2.56,115.4,12.98869983,12.03,20,1.5,1.2,3.33,0.03,2.46,0,3.368,1.928,1.581,0.305,84.647,89.631,0,0,0.261,0.246,74.68,461.377
"AS_86",86,373521757.8,6096000,410621114.7,241595235.9,6.75,6.3,8.34,189.2,10.2145046,8.9,16,1.4,1,3,0,2.26,0,24.657,25.777,0.399,0,57.505,49.631,1.336,1.105,0.463,0.451,144.446,147.817
"AS_87",87,340314530,6722000,633959620.4,556836397.4,6.61,8.4,2.84,107.5,7.02247191,11.74,16,6.8,11.8,2.77,0.03,2.1,0.03,45.388,77.6,2.889,0.387,102.363,90.664,11.48,11.797,0.358,0.444,120.087,127.511
"AS_88",88,42871734.17,2318666.667,1068677017,525005111.3,6.33,8.2,2.25,78.43,16.10305958,11.74,57,4.6,4.7,3.55,0.02,2.62,0.02,24.178,72.538,2.036,0.407,0,0,6.33,0,0.309,0.378,128.838,137.955
"AS_89",89,99474748.1,4533333.333,868743324.4,660343363.6,6.16,8.4,2.54,81.76,12.46261216,11.74,15,5.7,5.7,3.65,0.03,2.62,0.03,52.869,81.708,2.522,0.46,0,0,5.096,2.815,0.306,0.284,117.262,113.967
"AS_90",90,261398618.7,5021333.333,986256706.7,516464303.4,6.44,8.2,2.82,102,12.10067764,11.74,14,5.7,5.6,3.24,0.03,2.38,0.03,52.844,84.548,3.648,0.365,0,0,4.847,2.331,0.313,0.286,125.076,127.882
"AS_91",91,585108132,13145333.33,1058187644,673162572.1,6.27,8.8,2.92,77.13,8.658008658,11.74,29,4.9,2.1,3.01,0.01,2.21,0.01,25.848,96.717,4.192,0.496,100.189,140.23,7.339,3.651,0.332,0.286,73.237,90.603
"AS_92",92,604718317.9,12998666.67,1090887868,793346990.9,6.51,7.8,3.3,102.3,12.28501229,11.74,29,6.9,6.5,3.17,0.02,2.37,0.02,11.32,49.157,2.096,0.603,103.891,107.98,4.901,2.135,0.348,0.462,276.782,232.707
"AS_93",93,241711715.4,3338533.333,522443405,369076257.2,7.04,7,3.56,186.2,15.22070015,11.74,38,1.7,1.3,2.74,0.01,2,0.01,39.325,37.635,0,0,70.341,69.234,4.982,3.562,0.36,0.474,140.895,122.708
"AS_94",94,920499059.9,18744666.67,809317973.5,557544435.3,6.52,7.7,3.18,97.84,14.18439716,11.74,52,8.1,6.1,3.16,0.03,2.29,0.03,37.953,52.667,1.739,0.591,115.3589,134.155,2.502,1.137,0.274,0.347,293.704,332.792
"AS_95",95,738728157.8,13060666.67,653960405.1,617180985.9,6.48,8.3,3.42,80.64,9.267840593,11.74,22,6.1,6.1,3.27,0,3.4,0,53.027,77.731,2.601,0.596,123.662,136.967,3.208,1.299,0.246,0.227,106.428,107.968
"AS_96",96,272140448.9,15445333.33,1112832923,923101006,6.6,9.1,2.91,76.99,11.49954002,11.45,34,5,9.5,2.9,0.07,2.2,0.04,48.053,59.771,1.079,0.504,109.519,121.492,4.44,1.931,0.239,0.218,91.44,91.522
"AS_97",97,80962005.84,4966666.667,1117402218,1144886972,6.37,10.3,2.97,97.9,10.03009027,12.73,23,7.2,7.1,3.12,0.04,2.37,0.04,58.832,66.711,0.911,0.523,107.131,107.774,4.31,3.562,0.219,0.215,92.169,91.056
