"ASVID","ZOZOW1T_feces_320","ZOZOW1T_feces_321","ZOZOW1T_feces_322","ZOZOW1T_feces_323","ZOZOW1T_feces_324","ZOZOW1T_feces_325","ZOZOW1T_feces_326","ZOZOW1T_feces_327","ZOZOW1T_feces_328","ZOZOW1T_feces_329","ZOZOW1T_feces_330","ZOZOW1T_feces_331","ZOZOW1T_feces_332","ZOZOW1T_feces_333","ZOZOW1T_feces_334","ZOZOW1T_feces_336","ZOZOW1T_feces_339","ZOZOW1T_feces_340","ZOZOW1T_feces_342","ZOZOW1T_feces_343","ZOZOW1T_feces_344","ZOZOW1T_feces_345","ZOZOW1T_feces_346","ZOZOW1T_feces_347","ZOZOW1T_feces_348","ZOZOW1T_feces_349","ZOZOW1T_feces_350","ZOZOW1T_feces_351","ZOZOW1T_feces_352","ZOZOW1T_feces_353","ZOZOW1T_feces_354","ZOZOW1T_feces_355","ZOZOW1T_feces_356","ZOZOW1T_feces_358","ZOZOW1T_feces_359","ZOZOW1T_feces_360","ZOZOW1T_feces_362","ZOZOW1T_feces_363","ZOZOW1T_feces_365","ZOZOW1T_feces_367","ZOZOW1T_feces_368","ZOZOW1T_feces_369","ZOZOW1T_feces_370","ZOZOW1T_feces_371","ZOZOW1T_feces_372","ZOZOW1T_feces_373","ZOZOW1T_feces_374","ZOZOW1T_feces_375","ZOZOW1T_feces_376","ZOZOW1T_feces_377","ZOZOW1T_feces_378","ZOZOW1T_feces_379","ZOZOW1T_feces_380"
"OTU_24",1,28,17,62,42,12,13,15,9,13,12,16,11,3,3,6,5,10,1,5,32,14,5,1,4,39,10,14,25,7,21,6,7,2,5,4,32,3,14,3,12,47,27,11,31,47,4,12,33,35,14,50,4
"OTU_106",3,3,1,0,1,5,0,1,1,5,2,3,5,3,2,6,5,5,5,1,4,3,4,34,42,84,13,26,21,17,70,24,14,48,3,2,55,27,21,10,8,22,8,2,49,33,41,15,12,15,0,14,60
"OTU_8498",12,44,20,38,14,8,12,21,55,9,52,11,10,18,17,10,23,14,8,21,29,8,11,14,37,7,6,9,12,8,11,35,16,22,4,12,24,37,3,4,24,4,11,1,9,7,11,14,4,16,7,8,9
"OTU_229",3,0,2,1,0,5,13,23,5,7,7,14,4,17,21,34,69,24,0,37,37,28,25,231,61,4,14,45,0,0,0,0,2,12,0,38,1,12,1,1,16,0,0,5,0,0,2,8,8,1,2,3,0
"OTU_334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,16,4,13,82,8,19,13,30,18,26,87,183,102,32,24,34,56
"OTU_432",10,40,22,45,15,20,44,24,63,40,36,27,42,10,11,13,7,9,0,8,9,10,4,4,14,8,4,17,11,9,5,16,90,0,2,7,8,9,13,3,2,0,3,3,31,3,4,9,0,5,6,12,7
"OTU_77",1,14,9,23,2,6,11,26,18,24,18,32,9,10,26,30,1,1,0,3,8,12,14,22,24,12,13,17,6,28,5,11,8,1,5,17,22,8,7,10,32,2,44,56,8,13,5,10,17,23,50,29,8
"OTU_176",8,27,19,30,15,14,14,26,27,16,27,10,15,12,8,20,35,25,3,24,31,24,9,7,25,11,8,21,20,19,16,22,19,12,4,7,13,18,16,5,25,3,5,7,14,10,10,14,6,11,6,7,9
"OTU_2745",3,5,8,15,4,3,5,8,13,2,8,2,17,1,11,37,25,5,0,19,15,69,0,1,6,32,6,31,19,32,22,14,12,0,5,4,35,21,17,10,20,2,12,14,33,13,4,22,10,11,19,43,31
"OTU_120",16,19,19,17,15,14,11,11,9,10,9,32,8,77,23,9,6,10,4,15,3,9,5,30,12,12,10,5,13,5,13,13,7,4,23,10,15,16,10,9,23,31,11,16,9,23,31,11,24,15,9,8,3
"OTU_13",6,11,10,6,19,6,4,15,3,9,2,13,14,1,12,21,42,57,14,58,9,12,2,6,19,15,10,14,41,56,33,34,11,12,13,15,3,13,18,4,7,0,3,13,6,6,11,7,5,21,6,13,2
"OTU_368",0,3,2,0,2,13,2,10,1,2,5,6,1,5,0,6,9,28,27,4,1,3,1,16,12,3,8,5,1,0,3,2,10,37,21,63,8,23,23,45,18,20,45,55,9,24,29,44,4,30,35,6,28
"OTU_465",8,30,7,35,19,18,16,11,25,37,19,12,13,8,7,2,5,12,2,14,23,7,4,1,4,11,1,10,6,10,7,11,84,1,2,24,12,9,30,1,2,2,5,20,23,19,4,9,4,12,12,15,14
