"ID","UK01A","UK02A","UK03A","UK04A","UK05A","UK06A","UK08A","UK09A","UK10A","UK11A","UK12A","UK13A","UK14A","UK15A","UK16A","UK17A","UK18A","UK19A","UK20A","UK21A","UK22A","UK23A","UK24A","UK25A","UK26A","UK27A","UK28A","UK29A","UK30A","UK31A","UK32A","UK33A","UK34A","UK35A","UK36A","UK37A","UK38A","UK39A","UK40A","UK41A","UK42A","UK43A","UK44A","UK45A","UK46A","UK47A","UK48A","UK49A","UK50A","UK51A","UK52A"
"6a91827fd6203341d70002b4fcc192f7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,5,0,0,0,0,0,0,0,0,0,0
"6acfe69f470ceebec0cce442b1190fa9",0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,3,3,7,6,0,3,5
"6adf93c457bcd41544637cbfe1a50090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,12,10,6,12,7,0,4,8,2,3
"6af37f1dcb1ac1853863ec0d547d674e",0,2,0,6,0,0,0,8,3,4,0,7,0,0,0,2,1,0,4,6,13,0,7,7,4,9,0,7,9,33,40,45,34,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6b00f78586d417d647a559002fb9a59a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,2,2,4,2,4,1,3,3,2,0,1,0,0,0,0,2,0,1,3,0,3,0,0,0,0,0
"6b4cf9a3b491a2499b95a45d8f0cfac3",14,11,10,3,3,5,6,3,5,0,3,6,6,0,0,1,11,9,0,20,37,55,39,38,36,16,11,19,12,16,39,33,24,8,0,0,5,0,12,10,8,7,0,2,1,3,5,2,2,2,0
"6c25041515ced9d4f25f39e81e55bc02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,45,13,9,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6c3fb343f46983254cdb83e99fa07a49",56,34,36,17,26,30,24,9,14,12,17,21,0,0,0,0,0,0,0,0,0,0,0,2,3,10,15,20,15,26,40,16,20,5,6,8,24,17,24,46,28,66,65,30,66,87,110,89,39,76,23
"6ca072aeb676074a4f3eeda5740f38be",36,44,44,39,32,29,20,23,11,13,22,25,8,8,6,19,10,11,8,10,16,18,14,6,0,0,0,0,0,13,13,11,16,1,8,7,13,5,8,11,20,10,7,14,19,30,39,37,33,43,20
"6ce9620f7836fcb0fe6c03e1711d1bda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,12,24,31,3,0,0,1,0,0,0,0,0
